(4fd6b3c9,8d43235b) (6b396239,8d43235b)
(85ca92d,bba2a2f) (63a4765,bba2a2f)
(115ff681,19bc5ff5) (bc73f61,19bc5ff5)
(960d79,185d7db) (af5941,185d7db)
(b5e0593,101543a5) (f926b5b,101543a5)
(2a9919d9,ce623ca5) (aeaca129,ce623ca5)
(6a7c3a15,7f3fad49) (6d60556d,7f3fad49)
(2a01903d,2a5e7ba9) (187b25b5,2a5e7ba9)
(1ab325b,109c9a7d) (564538f,109c9a7d)
(1acd2acd,2e51d795) (1bcea5c5,2e51d795)
(753fd49,1134ac87) (1a226e9,1134ac87)
(7ebf58c5,9ec1aaf5) (6378e71d,9ec1aaf5)
(752a5f0f,c9f716cf) (26602eef,c9f716cf)
(15443ebb,3855dfbb) (66c2213,3855dfbb)
(6e4dca53,9c505edf) (54194d1b,9c505edf)
(dd295a7,2444aefb) (5772bcf,2444aefb)
(ab46bf1,184058fb) (e1d67a1,184058fb)
(13a17777,623c016d) (1fac64db,623c016d)
(12287801,5a984247) (4a23b101,5a984247)
(55fe4a9,f941dbb) (4bf1319,f941dbb)
(fbf04e3,1a9d95ab) (7efab0b,1a9d95ab)
(30ec6b,69a5743) (2198a5b,69a5743)
(25529ef7,491f9779) (410f9947,491f9779)
(8c1c39b,df67c1d) (5563c73,df67c1d)
(2d529693,57e65e0b) (44b3d3b,57e65e0b)
(67ae895,131d8849) (12e729bd,131d8849)
(1e14c4a7,50226871) (41cd377,50226871)
(e5128df,51fbf7c5) (3ee2c79f,51fbf7c5)
(1236969d,a1799467) (2f26c2e5,a1799467)
(3070d31b,4b36a937) (3ae00c83,4b36a937)
(e9ee0d,177c9e1b) (1393ae45,177c9e1b)
(5dcbbf,9325f9d) (6853f3f,9325f9d)
(6193b051,9a0571d1) (8ec0f731,9a0571d1)
(16be262d,16c4d2ad) (102dece5,16c4d2ad)
(2178acb1,359f957f) (b8f8bb9,359f957f)
(984449,f7b209) (63b219,f7b209)
(11546241,4ba2a015) (351253cd,4ba2a015)
(16343ec7,20c3d743) (6ae3df7,20c3d743)
(ba055f9,b833a477) (54777eb9,b833a477)
(fe11bd,1013885) (99e31d,1013885)
(175e7,28c51) (11cd7,28c51)
(2840dd9,d0f5d57d) (ed2ce69,d0f5d57d)
(1d4add39,2c88bcef) (1ea62049,2c88bcef)
(b69200d,447e9c7b) (3b45e2c5,447e9c7b)
(8291da1,d29b191) (87566e1,d29b191)
(50112cb,876734c9) (69774f83,876734c9)
(776a1dff,99c5c941) (2a26c57f,99c5c941)
(32706557,95d0495d) (32d54b67,95d0495d)
(1ac8646f,2c31daa7) (be019af,2c31daa7)
(2f77585,228fd8e9) (3669325,228fd8e9)
(ec3297,3a71dbd) (26dcc17,3a71dbd)
(3c760559,512f50c9) (22d9ab69,512f50c9)
(1005ceb,255ba19) (22bb5cf,255ba19)
(1eb463af,3f135c1d) (35f0cf3b,3f135c1d)
(304cf099,a99b769f) (a97caa9,a99b769f)
(184fffeb,69376b89) (3eb939a3,69376b89)
(c57ecb3,5168cd4d) (15ecfabb,5168cd4d)
(251d9011,2e879a7b) (1979b061,2e879a7b)
(23946acd,327242d5) (292508a5,327242d5)
(1e50557d,2c99772b) (8dfb6d5,2c99772b)
(21c15af,75b47b1) (4105a83,75b47b1)
(17be75c1,32555ecf) (279cea41,32555ecf)
(3c020b3,38b641f5) (8717cfb,38b641f5)
(388a73b,3c04553) (22fc20b,3c04553)
(2801d6f1,472e9d25) (1ffdae35,472e9d25)
(4f028e7,58586a61) (ef8e323,58586a61)
(fc3e737,3701e243) (392c3df,3701e243)
(5b820ff,46baa131) (40e7a1bf,46baa131)
(1865ccb,3be6c1f) (3382363,3be6c1f)
(24cabdb,58016371) (2a332797,58016371)
(222f3035,5b7970af) (2648ddd,5b7970af)
(133563a7,3fdfb221) (293ce787,3fdfb221)
(1e4c8d25,2678fec3) (1bedc14d,2678fec3)
(27d6dcd5,a3d62af5) (9645535d,a3d62af5)
(4ed3df1b,9d12e1c7) (85641863,9d12e1c7)
(23401f3b,2a683ea5) (1c023af3,2a683ea5)
(a78612d,338cb411) (37ae1fd,338cb411)
(14d3f9e5,20a51979) (6666415,20a51979)
(1724f459,2c3bbcc5) (24a0ce29,2c3bbcc5)
(149370e9,1b9011b7) (c2d7f79,1b9011b7)
(134e487,24c5bf7) (e50127,24c5bf7)
(3c7095d,11bd3839) (6bbf321,11bd3839)
(3c45543d,b11ef029) (1238ccc5,b11ef029)
(38580f11,3bd8678b) (16082e31,3bd8678b)
(85a4af,20e5d7f) (287f8f,20e5d7f)
(3eca5a7f,52d56657) (4869829f,52d56657)
(19df9d49,30ff526d) (ee60459,30ff526d)
(639aaf71,f36c0839) (3c2be481,f36c0839)
(62e4657,f2c84bf) (3bfcdf,f2c84bf)
(19592999,53b34cc9) (171118a9,53b34cc9)
(12913309,4f674781) (3329b739,4f674781)
(d1a923,e7c379) (d54dbb,e7c379)
(828c67,d801fff) (1a2f3b7,d801fff)
(42b47f,64cec1) (aefdf,64cec1)
(45f8280b,5a7c92dd) (5e186a3,5a7c92dd)
(22c2d8df,39917ab3) (100c87ff,39917ab3)
(29bee59f,4b122b6f) (32be885f,4b122b6f)
(1ec18ca1,38d25835) (304afce1,38d25835)
(58271f,17fd071) (291b9f,17fd071)
(21413d6b,4ced7c93) (f7d0b43,4ced7c93)
(1570b89,1130cef3) (cc66a31,1130cef3)
(deb479,144917a1) (90d3705,144917a1)
(6cbdbc7,9d7e81f) (12cf7bf,9d7e81f)
(d758c11,16e2a9d3) (2ac5801,16e2a9d3)
(12d90609,1e3d9f79) (1bc0f625,1e3d9f79)
(5ff12fb1,77691ce3) (59eedb11,77691ce3)
(74d7e7,b098a9) (7c99b7,b098a9)
(7ce84f3,4264c14d) (18073edb,4264c14d)
(f1e18c1,12201f55) (e93531d,12201f55)
(47cae29,173c1ca7) (4dc6629,173c1ca7)
(1bb78e61,3b86c931) (224a5cf9,3b86c931)
(3498856f,3a358ff9) (f809497,3a358ff9)
(872eed9,197d899f) (34c0ae9,197d899f)
(1acace29,42caf913) (326bb91,42caf913)
(590073b3,81aed3bb) (377ed25b,81aed3bb)
(8bd8b5b,1a6709a3) (bb11f73,1a6709a3)
(32e420d,7f5f911) (73c94d5,7f5f911)
(85f2517,63bfba51) (5dae5497,63bfba51)
(12e191d5,2ea3d24b) (22542a15,2ea3d24b)
(b61de71,e4155f9) (deacb11,e4155f9)
(10c7a7,1ee98f) (1791af,1ee98f)
(480b1c5,424de3e7) (3c48dd5d,424de3e7)
(5ff9117f,65192873) (11edbdf,65192873)
(371e62cb,684fe8fd) (5c4758c3,684fe8fd)
(da7c8bf,2b164cdf) (13ff97bf,2b164cdf)
(3e49995,ca85ee5) (b18f4e9,ca85ee5)
(14bc6dcd,213ac54f) (19f53c25,213ac54f)
(63d58acb,a52f5543) (13e5ac3b,a52f5543)
(1f1c78d7,49c88de9) (10cdd787,49c88de9)
(1166d7a5,3439fc99) (2d74a8f5,3439fc99)
(1a9f7d9,258e25b) (2446d41,258e25b)
(2a23b8ad,2eaaef9f) (10bf16fd,2eaaef9f)
(5d05681,a2656d5) (3a7c435,a2656d5)
(120990a1,17bb3aa3) (5377c61,17bb3aa3)
(e94d36f,1ed0c9f3) (9282b7f,1ed0c9f3)
(7c35c4d,3095db51) (5308415,3095db51)
(6b8c5f7,ae1fee9) (341a46f,ae1fee9)
(136a1505,699c6179) (5669499d,699c6179)
(7960507,1b598c0d) (12fe2843,1b598c0d)
(a6e23a7,1d49501d) (148929af,1d49501d)
(ba5637b,bcfa84d) (978b633,bcfa84d)
(1164e6c5,40059229) (7f70cf9,40059229)
(1fcd70fb,bb3a442d) (686db437,bb3a442d)
(913d9a1,309e7b63) (fe1f451,309e7b63)
(282eea83,37c25087) (9acb62b,37c25087)
(19cc054d,32b4229b) (260a13e5,32b4229b)
(1ae9cf9,7b9dcfd9) (6d552c9,7b9dcfd9)
(47f91e3,898e3d1) (61df537,898e3d1)
(2541a73,21a79441) (12ec5bcb,21a79441)
(553ef191,5619f755) (167abc2d,5619f755)
(a92c7b1,d669199) (7947f1,d669199)
(25f5b4d9,3945e76b) (d6af401,3945e76b)
(128c23a5,a3b3c779) (85a4b01d,a3b3c779)
(61c1dd3,86e2617) (383c75b,86e2617)
(358b8ee7,579128bd) (533884b7,579128bd)
(59e92307,be193fa1) (69f3d017,be193fa1)
(1c5200f5,26a62281) (721dd31,26a62281)
(491eeb0d,7c83b0f5) (14ed4dc5,7c83b0f5)
(e63cee9,515b38cd) (430ca509,515b38cd)
(163f81ef,50738173) (4a76314f,50738173)
(225f905,6092ba9) (60c365,6092ba9)
(36abf4f,43a67fd) (27357af,43a67fd)
(19a0058d,216012a1) (4a53435,216012a1)
(1deeaa7,262081f) (1bcb497,262081f)
(da19be7,1640521d) (d251683,1640521d)
(680e4c9,6d860ef) (163df9,6d860ef)
(1c4cd49,8ddde25) (7cd2939,8ddde25)
(6cd027d3,8ee3a733) (46a678db,8ee3a733)
(60ca8b9,1b7a89cd) (89c0801,1b7a89cd)
(10f8540b,5b2d00ed) (44a9e1e3,5b2d00ed)
(1063bc9,14088c1) (a856d9,14088c1)
(1bc40eaf,2388d991) (e5ebb7b,2388d991)
(658ccb,37b4939) (33fa8e3,37b4939)
(20a11dd1,593b79cb) (e2d78e1,593b79cb)
(1a4c2ce7,624bb241) (5b85a27b,624bb241)
(7d95f,1a9a869) (e8c79b,1a9a869)
(21e3ee05,3349d7c5) (29585495,3349d7c5)
(26737543,446a5c3f) (443512db,446a5c3f)
(97d6b4f,239f3761) (88de403,239f3761)
(1bad28b,cc9c6fb) (84d6613,cc9c6fb)
(6f25981,1585c5f7) (112ad301,1585c5f7)
(a8ea2ff,2439fffd) (650633f,2439fffd)
(208e6713,3cd592f3) (2ca5721b,3cd592f3)
(2ff680d,643a9089) (5b736ac5,643a9089)
(1fa1d8dd,357d01cb) (22a36075,357d01cb)
(1a07c89b,2a37dbf1) (1c725ac3,2a37dbf1)
(7b7999,25ea5cef) (83a29b9,25ea5cef)
(4726cd,d9ac36b) (6f6705,d9ac36b)
(dbeef7,3a0ca71) (2081c17,3a0ca71)
